Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Abram Smith,RB,Baylor,"6'0""",213,,,,,,,,,,
Alec Pierce,WR,Cincinnati,"6'3""",211,,,,4.41,,40.5,"10'9""",,7.13,4.28
Austin Allen,TE,Nebraska,"6'8""",253,,,,4.83,,34,"10'1""",,7,4.26
Bailey Zappe,QB,Western Kentucky,"6'1""",215,,,,4.88,,30,"9'1""",,7.19,4.4
Bo Melton,WR,Rutgers,"5'11""",189,,,,4.34,,38,"10'1""",,6.98,
Braylon Sanders,WR,Mississippi,"6'0""",194,,,,4.48,,34.5,"10'1""",,,
Breece Hall,RB,Iowa St.,"5'11""",217,,,,4.39,,40,"10'6""",,,
Brian Robinson,RB,Alabama,"6'2""",225,,,,4.53,,30,"9'11""",,,
Brock Purdy,QB,Iowa St.,"6'1""",212,,,,4.84,,27,,,7.21,4.45
Cade Otton,TE,Washington,"6'5""",247,,,,,,,,,,
Calvin Austin,WR,Memphis,"5'8""",170,,,,4.32,,39,"11'3""",,6.65,4.07
Carson Strong,QB,Nevada,"6'3""",226,,,,,,,,,,
Charleston Rambo,WR,Miami,"6'1""",177,,,,4.57,,33.5,"9'10""",,,
Charlie Kolar,TE,Iowa St.,"6'7""",252,,,,,,,,,,
Chase Allen,TE,Iowa St.,"6'6""",251,,,,,,33.5,"9'9""",,7.03,4.43
Chigoziem Okonkwo,TE,Maryland,"6'3""",238,,,,4.52,,35.5,,,,
Chris Olave,WR,Ohio St.,"6'0""",187,,,,4.39,,32,"10'4""",,,
Christian Watson,WR,North Dakota St.,"6'4""",208,,,,4.36,,38.5,"11'4""",,,
CJ Verdell,RB,Oregon,"5'8""",194,,,,,,29.5,"9'10""",,,
Cole Kelley,QB,Southeastern Louisiana,"6'7""",249,,,,,,,,,,
Cole Turner,TE,Nevada,"6'6""",246,,,,4.76,,27,"10'0""",17,7.06,4.41
Connor Heyward,TE,Michigan St.,"5'11""",233,,,,4.72,,32.5,,,,
Curtis Hodges,TE,Arizona St.,"6'8""",257,,,,4.85,,34.5,"9'9""",,7.14,4.28
D'Eriq King,QB,Miami,"5'9""",196,,,,,,,,,,
D'vonte Price,RB,Florida International,"6'1""",210,,,,4.38,,34,"9'11""",,,
Dai'Jean Dixon,WR,Nicholls St.,"6'3""",205,,,,4.62,,34,"10'5""",,7.28,4.42
Dameon Pierce,RB,Florida,"5'10""",218,,,,4.59,,34.5,"9'11""",21,,
Daniel Bellinger,TE,San Diego St.,"6'5""",253,,,,4.63,,34.5,"10'5""",22,7.05,4.47
Danny Gray,WR,SMU,"6'0""",186,,,,4.33,,34,"10'6""",,,
David Bell,WR,Purdue,"6'1""",212,,,,4.65,,33,"9'10""",,7.14,4.57
Desmond Ridder,QB,Cincinnati,"6'3""",211,,,,4.52,,36,"10'7""",,7.15,4.29
Devon Williams,WR,Oregon,"6'5""",210,,,,4.65,,33,"11'1""",,,
Dontario Drummond,WR,Mississippi,"6'1""",215,,,,4.65,,34,"10'2""",,,
Drake London,WR,USC,"6'4""",219,,,,,,,,,,
Dustin Crum,QB,Kent St.,"6'1""",210,,,,4.75,,32.5,"10'0""",,,4.36
EJ Perry,QB,Brown,"6'2""",211,,,,4.65,,34.5,"10'3""",,6.85,4.18
Erik Ezukanma,WR,Texas Tech,"6'2""",209,,,,,,36.5,"10'6""",,,4.38
Garrett Wilson,WR,Ohio St.,"6'0""",183,,,,4.38,,36,"10'3""",,,4.36
George Pickens,WR,Georgia,"6'3""",195,,,,4.47,,33,"10'5""",,,
Grant Calcaterra,TE,SMU,"6'4""",241,,,,4.62,,,,20,,
Greg Bell,RB,San Diego St.,"5'11""",201,,,,,,31,"10'0""",17,,
Greg Dulcich,TE,UCLA,"6'4""",243,,,,4.69,,34,"10'2""",16,7.05,4.37
Hassan Haskins,RB,Michigan,"6'2""",228,,,,,,,,27,,
Isaiah Likely,TE,Coastal Carolina,"6'5""",245,,,,,,36,,,,4.57
Isaiah Spiller,RB,Texas A&M,"6'0""",217,,,,,,30,"9'6""",,,
Isaiah Weston,WR,Northern Iowa,"6'4""",214,,,,4.42,,40,"11'3""",20,,
Isiah Pacheco,RB,Rutgers,"5'10""",216,,,,4.37,,33,"9'10""",,,
Jack Coan,QB,Notre Dame,"6'3""",218,,,,4.9,,33,"9'7""",,6.95,4.39
Jahan Dotson,WR,Penn St.,"5'11""",178,,,,4.43,,36,"10'1""",,7.28,
Jake Ferguson,TE,Wisconsin,"6'5""",250,,,,4.81,,31.5,"9'10""",15,7.03,4.48
Jalen Nailor,WR,Michigan St.,"5'11""",186,,,,4.5,,38,"10'8""",,7.03,4.28
Jalen Tolbert,WR,South Alabama,"6'1""",194,,,,4.49,,36,"10'3""",,7.08,
Jalen Wydermyer,TE,Texas A&M,"6'4""",255,,,,,,,,,,
James Cook,RB,Georgia,"5'11""",199,,,,4.42,,33,"10'4""",,,
James Mitchell,TE,Virginia Tech,"6'4""",249,,,,,,,,,,
Jameson Williams,WR,Alabama,"6'2""",179,,,,,,,,,,
Jashaun Corbin,RB,Florida St.,"5'11""",202,,,,,,,,,,
Jaylen Warren,RB,Oklahoma St.,"5'8""",204,,,,4.55,,31.5,"9'11""",,,
Jelani Woods,TE,Virginia,"6'7""",259,,,,4.61,,,,24,,
Jeremiah Hall,TE,Oklahoma,"6'2""",239,,,,4.96,,29,"9'3""",19,7.43,4.62
Jeremy Ruckert,TE,Ohio St.,"6'5""",250,,,,,,,,19,,
Jerome Ford,RB,Cincinnati,"5'11""",210,,,,4.46,,31,"9'10""",,,
Jerrion Ealy,RB,Mississippi,"5'8""",189,,,,4.52,,34.5,"10'8""",,,
John Metchie,WR,Alabama,"5'11""",187,,,,,,,,,,
Johnny Johnson III,WR,Oregon,"6'0""",197,,,,4.6,,32,"10'1""",,7.21,4.54
Josh Johnson,WR,Tulsa,"5'11""",183,,,,,,,,14,,
Justyn Ross,WR,Clemson,"6'4""",205,,,,,,,,11,,
Kaleb Eleby,QB,Western Michigan,"6'1""",208,,,,,,25.5,"9'3""",,7.57,
Keaontay Ingram,RB,USC,"6'0""",221,,,,4.53,,34.5,"10'2""",,,
Kennedy Brooks,RB,Oklahoma,"5'11""",209,,,,4.59,,31,"10'0""",,,
Kenneth Walker,RB,Michigan St.,"5'9""",211,,,,4.38,,34,"10'2""",,,
Kenny Pickett,QB,Pittsburgh,"6'3""",217,,,,4.73,,33.5,"10'1""",,,4.29
Kevin Austin Jr.,WR,Notre Dame,"6'2""",200,,,,4.43,,39,"11'0""",,6.71,4.15
Kevin Harris,RB,South Carolina,"5'10""",221,,,,,,38.5,"10'6""",21,,
Khalil Shakir,WR,Boise St.,"6'0""",196,,,,4.43,,34.5,"10'4""",,7.28,4.21
Kyle Philips,WR,UCLA,"5'11""",189,,,,4.58,,33.5,"10'4""",,,
Kyren Williams,RB,Notre Dame,"5'9""",194,,,,4.65,,32,"9'8""",,,
Leddie Brown,RB,West Virginia,"6'0""",213,,,,4.64,,30,"9'10""",,,
Makai Polk,WR,Mississippi St.,"6'3""",195,,,,4.59,,31,"9'11""",,,4.36
Malik Willis,QB,Liberty,"6'1""",219,,,,,,,,,,
Matt Corral,QB,Mississippi,"6'2""",212,,,,,,,,,,
Max Borghi,RB,Washington St.,"5'9""",210,,,,,,,,20,,
Mike Woods,WR,Oklahoma,"6'1""",204,,,,4.55,,34.5,"10'5""",,,
Peyton Hendershot,TE,Indiana,"6'4""",250,,,,4.8,,32.5,"9'9""",,,4.25
Pierre Strong,RB,South Dakota St.,"5'11""",207,,,,4.37,,36,"10'4""",,,
Rachaad White,RB,Arizona St.,"6'0""",214,,,,4.48,,38,"10'5""",,,
Reggie Roberson Jr.,WR,SMU,"5'11""",192,,,,,,29,"9'6""",,,
Romeo Doubs,WR,Nevada,"6'2""",201,,,,,,,,,,
Ronnie Rivers,RB,Fresno St.,"5'8""",195,,,,4.6,,36.5,"9'11""",,,
Sam Howell,QB,North Carolina,"6'1""",218,,,,,,,,,,
Sincere McCormick,RB,Texas-San Antonio,"5'9""",205,,,,4.6,,33.5,"9'8""",,,
Skylar Thompson,QB,Kansas St.,"6'2""",217,,,,4.91,,31,"9'4""",,7,4.28
Skyy Moore,WR,Western Michigan,"5'10""",195,,,,4.41,,34.5,"10'5""",,7.13,4.32
Slade Bolden,WR,Alabama,"5'11""",193,,,,4.66,,32,"9'8""",,,
Snoop Conner,RB,Mississippi,"5'10""",222,,,,4.59,,29.5,"9'10""",25,,
Teagan Quitoriano,TE,Oregon St.,"6'6""",258,,,,,,,,22,,
Tré Turner,WR,Virginia Tech,"6'1""",184,,,,4.51,,27,"9'5""",,7.45,4.53
Trestan Ebner,RB,Baylor,"5'11""",206,,,,4.43,,30,,,,
Trey McBride,TE,Colorado St.,"6'4""",246,,,,,,33,"9'9""",18,,
Treylon Burks,WR,Arkansas,"6'2""",225,,,,4.55,,33,"10'2""",,7.28,
Ty Fryfogle,WR,Indiana,"6'1""",204,,,,4.53,,39,"10'7""",,,
Tykevious Chandler,RB,North Carolina,"5'11""",204,,,,4.38,,31,"10'1""",,,
Tyler Allgeier,RB,BYU,"5'11""",224,,,,4.6,,33,"10'0""",,,
Tyler Badie,RB,Missouri,"5'8""",197,,,,4.45,,33.5,"10'1""",,,
Tyler Goodson,RB,Iowa,"5'9""",197,,,,4.42,,36.5,"10'3""",,,
Tyquan Thornton,WR,Baylor,"6'2""",181,,,,4.28,,36.5,"10'10""",,,
Tyrion Davis-Price,RB,LSU,"6'0""",211,,,,4.48,,30,"9'9""",,,
Velus Jones,WR,Tennessee,"6'0""",204,,,,4.31,,33,"10'1""",,,
Wan'Dale Robinson,WR,Kentucky,"5'8""",178,,,,4.44,,34.5,"9'10""",,,
Zamir White,RB,Georgia,"6'0""",214,,,,4.4,,33.5,"10'8""",,,
ZaQuandre White,RB,South Carolina,"6'0""",206,,,,,,,,,,
Zonovan Knight,RB,North Carolina St.,"5'11""",209,,,,4.58,,31,"9'6""",,,
