,Position,Player 1,Player 2,Player 3,Player 4
0,LWR,"Bech, Jack","Thornton Jr., Dont'e","Dorsett II, Phillip","Rice, Brenden"
1,RWR,"Tucker, Tre","Jackson, Shedrick","Shorter, Justin",
2,SWR,"Nailor, Jalen","Young, Dareke",,
3,LT,"Miller, Kolton","Grant, Charles",,
4,LG,"Burford, Spencer","Meredith, Jordan","Mafi, Atonio","Curtis, McClendon"
5,C,"Linderbaum, Tyler","Putnam, Will",,
6,RG,"Powers-Johnson, Jackson","Rogers, Caleb","Robinson, Layden","Tasi, Laki"
7,RT,"Glaze, DJ","Wagner, Dalton","Miles, Joshua",
8,TE,"Bowers, Brock","Mayer, Michael","Runyon, Carter","Okwuegbunam Jr., Albert"
9,QB,"O'Connell, Aidan",,,
10,RB,"Jeanty, Ashton","Laube, Dylan","Collier, Chris",
11,FB,"Heyward, Connor",,,
12,DE,"Wilson, Tyree","Hemingway, Tonka",,
13,NT,"Butler, Adam","Pegues, JJ","Martin, Brodric",
14,DT,"Laulu, Jonah","Booker IV, Thomas T","Ma'ae, Treven",
15,LOLB,"Paye, Kwity","Snowden, Charles","Jackson, Brennan",
16,WLB,"Walker, Quay","Eichenberg, Tommy","Olubi, Segun",
17,MLB,"Dean, Nakobe","Lindenberg, Cody","Davis, Jamin",
18,ROLB,"Crosby, Maxx","Koonce, Malcolm","Harvey, Jahfari",
19,LCB,"Stokes, Eric","Richardson, Decamerion",,
20,SS,"Chinn, Jeremy",,,
21,FS,"Pola-Mao, Isaiah","McCollum, Tristin",,
22,RCB,"Porter, Darien","Anusiem, Chigozie",,
23,NB,"Johnson, Taron","Vance, Greedy",,
24,PT,"Cole, AJ",,,
25,PK,"Gay, Matt",,,
