Category,Position,Player 1,Player 2,Player 3,Player 4,Player 5
Offense,LWR,"Bech, Jack","Thornton Jr., Dont'e","Dorsett II, Phillip","Rice, Brenden",""
Offense,RWR,"Tucker, Tre","Jackson, Shedrick","Shorter, Justin","",""
Offense,SWR,"Nailor, Jalen","Young, Dareke","","",""
Offense,LT,"Miller, Kolton","Grant, Charles","","",""
Offense,LG,"Burford, Spencer","Meredith, Jordan","Mafi, Atonio","Curtis, McClendon",""
Offense,C,"Linderbaum, Tyler","Putnam, Will","","",""
Offense,RG,"Powers-Johnson, Jackson","Rogers, Caleb","Robinson, Layden","Tasi, Laki",""
Offense,RT,"Glaze, DJ","Wagner, Dalton","Miles, Joshua","",""
Offense,TE,"Bowers, Brock","Mayer, Michael","Runyon, Carter","Okwuegbunam Jr., Albert",""
Offense,QB,"O'Connell, Aidan","","","",""
Offense,RB,"Jeanty, Ashton","Laube, Dylan","Collier, Chris","",""
Offense,FB,"Heyward, Connor","","","",""
Defense,DE,"Wilson, Tyree","Hemingway, Tonka","","",""
Defense,NT,"Butler, Adam","Pegues, JJ","Martin, Brodric","",""
Defense,DT,"Laulu, Jonah","Booker IV, Thomas T","Ma'ae, Treven","",""
Defense,LOLB,"Paye, Kwity","Snowden, Charles","Jackson, Brennan","",""
Defense,WLB,"Walker, Quay","Eichenberg, Tommy","Olubi, Segun","",""
Defense,MLB,"Dean, Nakobe","Lindenberg, Cody","Davis, Jamin","",""
Defense,ROLB,"Crosby, Maxx","Koonce, Malcolm","Harvey, Jahfari","",""
Defense,LCB,"Stokes, Eric","Richardson, Decamerion","","",""
Defense,SS,"Chinn, Jeremy","","","",""
Defense,FS,"Pola-Mao, Isaiah","McCollum, Tristin","","",""
Defense,RCB,"Porter, Darien","Anusiem, Chigozie","","",""
Defense,NB,"Johnson, Taron","Vance, Greedy","","",""
Special Teams,PT,"Cole, AJ","","","",""
Special Teams,PK,"Gay, Matt","","","",""
Special Teams,LS,"Ward, Alex","","","",""
Special Teams,H,"Cole, AJ","","","",""
Special Teams,KO,"Gay, Matt","","","",""
Special Teams,PR,"Tucker, Tre","","","",""
Special Teams,KR,"Young, Dareke","Laube, Dylan","","",""
